    ,    ,    ,Gurobi,,,iB&C+LSI,,
       m,       n,   gamma,T(G%),N,v,T,v,It
      50,      25,       3, 766.4,   48200,      9226,   0.3,      9226,       2
      50,      25,       4,(<0.1),   86526,      8920,   0.2,      8513,       2
      50,      25,       5, 804.6,   30847,      8648,   0.7,      8624,       2
      50,      25,       6,(<0.1),   47768,      8513,   0.4,      8513,       1
      50,      25,       7,(<0.1),   39177,      8513,   2.6,      8513,       1
      50,      50,       3,(3.3),  213597,      7341,   0.9,      7006,       2
      50,      50,       4,(27.6),  204075,      6771,   0.4,      6661,       2
      50,      50,       5,(32.9),  137099,      6480,   2.0,      6320,       2
      50,      50,       6,(37.8),  124821,      6339,   2.1,      6339,       2
      50,      50,       7,(28.9),   99007,      6244,  13.1,      6231,       2
     100,      25,       3,(1.5),  264815,     25201,   0.2,     24769,       2
     100,      25,       4,(<0.1),  328376,     24921,   0.3,     24345,       2
     100,      25,       5,(5.5),  103860,     24580,   1.8,     24329,       3
     100,      25,       6,(7.6),   80016,     24562,   4.9,     24329,       3
     100,      25,       7,(7.9),   93245,     24547,   9.9,     24424,       2
     100,      50,       3,(25.6),   58185,     20540,   0.4,     19391,       2
     100,      50,       4,(33.7),   48895,     19033,   0.8,     19059,       2
     100,      50,       5,(35.1),   16947,     18925,   2.1,     18951,       2
     100,      50,       6,(31.4),   24640,     18565,   4.6,     18632,       3
     100,      50,       7,(30.6),   15395,     18537,  12.6,     18519,       2
     200,      25,       3,(7.8),  165428,     63535,   0.5,     62100,       2
     200,      25,       4,(15.0),   35198,     61565,   0.8,     62662,       2
     200,      25,       5,(6.2),   44488,     62970,   1.7,     62428,       2
     200,      25,       6,(8.3),   30144,     62516,   4.7,     61639,       2
     200,      25,       7,(10.0),   31306,     61823,  10.0,     61803,       2
     200,      50,       3,(17.5),   22645,     57594,   1.2,     57383,       2
     200,      50,       4,(19.2),   13492,     56886,   3.2,     56237,       3
     200,      50,       5,(23.1),    6838,     55557,   3.1,     55669,       2
     200,      50,       6,(21.2),    4840,     55085,  11.9,     55724,       3
     200,      50,       7,(21.6),    5379,     54876,  26.4,     55755,       2
